STT,Từ Vựng (Kanji),Cách Đọc (Hiragana),Hán Việt,Ý Nghĩa Tiếng Việt,English Meaning,Ví Dụ (Example)
733,向ける,むける,HƯỚNG,"(Tha) Hướng về, nhắm tới","turn towards, aim at",顔を右に向ける。若者に向けて発売する。
734,勧める,すすめる,KHUYẾN,"Khuyên bảo, mời chào","recommend, encourage",ウォーキングをしようと勧めた。お茶を勧める。
735,薦める,すすめる,TIẾN,"Tiến cử, giới thiệu","recommend, nominate",先生にすすめられた本を買った。山田さんを推薦する。
736,任せる,まかせる,NHIỆM,"Giao phó, ủy thác",entrust,責任の重い仕事を新人に任せた。
737,守る,まもる,THỦ,"Bảo vệ, giữ gìn (lời hứa/luật)","protect, obey, keep",ルールを守る。環境を守る。
738,争う,あらそう,TRANH,"Tranh giành, tranh cãi, thi đấu","fight, argue, compete",兄弟が争っている。トップを争う。
739,望む,のぞむ,VỌNG,"Mong muốn, hy vọng","wish, desire, hope",卒業後は教師になることを望んでいる。
740,信じる,しんじる,TÍN,"Tin tưởng, tin vào","believe, trust",がんばれば成功すると信じている。
741,通じる,つうじる,THÔNG,"(Tự) Hiểu được, thông suốt, dẫn tới","be understood, lead to",日本語が通じる。この地下道は駅に通じている。
742,飽きる,あきる,BÃO,"(Tự) Chán, ngấy","get tired of, lose interest",毎日食べると飽きてしまう。
743,思いつく,おもいつく,TƯ,"Nghĩ ra, nảy ra ý tưởng","think of, come up with",いいアイデアを思いついた。
744,思いやる,おもいやる,TƯ,"Quan tâm, thông cảm",be considerate of,子どもを思いやる気持ち。
745,熱中する,ねっちゅうする,NHIỆT TRUNG,"Say mê, đắm chìm vào",be absorbed in,母はカラオケに熱中している。
746,暮らす,くらす,MỘ,"Sinh sống, sống","live, make a living",一人で暮らす。この給料では暮らしていけない。
747,巻く,まく,QUYỂN,"Cuốn, quấn, quàng","wrap, wind up",マフラーを首に巻く。包帯を巻く。
748,結ぶ,むすぶ,KẾT,"Buộc, thắt, ký kết (hợp đồng)","tie, bind, connect, conclude",くつのひもを結ぶ。契約を結ぶ。
749,済む,すむ,TẾ,"(Tự) Xong xuôi, chỉ cần... là đủ","be finished, manage with",仕事が済んだら帰る。300円ですんだ。
750,済ませる/済ます,すませる/すます,TẾ,"(Tha) Kết thúc, giải quyết xong, làm tạm","finish, settle",支払いを済ませる。朝はパンで済ます。
751,出来る,できる,XUẤT LAI,"(Tự) Hoàn thành, sinh ra, có thể","be made, be ready, can do",駅前にスーパーができた。料理ができた。
752,切れる,きれる,THIẾT,"(Tự) Đứt, cắt ngọt, hết hạn, cạn kiệt","cut well, expire, run out",このはさみはよく切れる。賞味期限が切れた。電池が切れる。
753,切らす,きらす,THIẾT,"(Tha) Dùng hết, làm cạn",run out of,しょうゆを切らしてしまった。名刺を切らす。
754,伝わる,つたわる,TRUYỀN,"(Tự) Được truyền đạt, lan truyền","be transmitted, spread",うわさが伝わってきた。熱が伝わる。
755,伝える,つたえる,TRUYỀN,"(Tha) Truyền đạt, truyền bá, dẫn (nhiệt)","tell, convey, teach",用事を伝える。キリスト教を日本に伝えた。
756,続く,つづく,TỤC,"(Tự) Tiếp tục, kéo dài, nối tiếp","continue, go on",雨の日が続く。前の人に続いてお乗りください。
757,続ける,つづける,TỤC,(Tha) Tiếp tục duy trì,"continue, keep up",もう3時間も会議を続けている。
758,つながる,つながる,,"(Tự) Kết nối, liên kết, dẫn tới","be connected, lead to",本州と四国は橋でつながっている。電話がつながった。
759,つなぐ,つなぐ,,"(Tha) Nối, kết nối, nắm (tay)","connect, join, hold hands",パソコンにプリンターをつなぐ。手をつないで歩く。
760,つなげる,つなげる,,"(Tha) Kết nối, chắp nối tới thành công","connect, link to",このチャンスをぜひ成功につなげたい。
761,伸びる,のびる,THÂN,"(Tự) Dài ra, lớn lên, tăng trưởng (doanh thu)","grow, lengthen, increase",髪が伸びる。売上が伸びる。
762,伸ばす,のばす,THÂN,"(Tha) Kéo dài ra, duỗi thẳng, phát triển","lengthen, stretch",髪を伸ばす。アイロンをかけてしわを伸ばす。
763,延びる,のびる,DUYÊN,"(Tự) Hoãn lại, kéo dài ra (thời gian)","be postponed, prolonged",レポートの締め切りが延びた。寿命が延びる。
764,延ばす,のばす,DUYÊN,"(Tha) Trì hoãn, gia hạn","postpone, extend",帰国の日を延ばした。時間を延ばす。
765,重なる,かさなる,TRỌNG,"(Tự) Chồng lên nhau, trùng nhau (lịch)","overlap, pile up, coincide",日曜日と祝日が重なると月曜が休みになる。
766,重ねる,かさねる,TRỌNG,"(Tha) Chồng lên, lặp lại, tích lũy","stack, repeat, accumulate",皿を重ねて置く。練習を重ねる。
767,広がる,ひろがる,QUẢNG,"(Tự) Mở rộng, lan rộng (không gian)","spread, widen",道幅が広がった。火事がどんどん広がっている。
768,広げる,ひろげる,QUẢNG,"(Tha) Mở rộng, giương ra","widen, open, spread",店を広げたい。机の上に新聞を広げる。
769,載る,のる,TẢI,"(Tự) Được chất lên, được đăng tải","be placed on, published",新聞に私の書いた記事が載った。
770,載せる,のせる,TẢI,"(Tha) Chất lên, đăng tải bài viết","put on, publish",たなに荷物を載せる。文集に作品を載せる。
771,そろう,そろう,,"(Tự) Tụ họp đầy đủ, đồng đều","gather, match, be uniform",全員がそろったら出発しよう。靴がそろっている。
772,そろえる,そろえる,,"(Tha) Gom lại đủ, sắp xếp ngay ngắn","gather, arrange, match",メンバーをそろえた。脱いだくつをそろえる。
773,まとまる,まとまる,,"(Tự) Được thu gom, thống nhất (ý kiến)","be collected, settled",クラスの意見がまとまった。
774,まとめる,まとめる,,"(Tha) Gom lại, tổng hợp, đúc kết","gather, summarize",いらなくなったものをまとめて捨てる。考えをまとめる。
775,付く,つく,PHÓ,"(Tự) Dính vào, kèm theo, tích lũy","stick to, accompany, gain",服に血がついた。知識が身につく。
776,付ける,つける,PHÓ,"(Tha) Dán vào, kèm theo, chấm (nước sốt)","attach, apply, acquire",パンにジャムをつける。知識を身につけた。
777,たまる,たまる,,"(Tự) Tích tụ, đọng lại, dồn ứ","accumulate, build up",お金がたまる。ストレスがたまる。
778,ためる,ためる,,"(Tha) Tích góp, dồn lại","save, accumulate",お金をためる。宿題をためてしまった。
779,交じる/混じる,まじる,GIAO/HỖN,"(Tự) Lẫn lộn, xen lẫn",be mingled with,男の子に交じってサッカーをする。不安が混じる。
780,交ざる/混ざる,まざる,GIAO/HỖN,"(Tự) Được trộn đều, hòa trộn",be mixed together,男女が交ざってサッカーをした。材料が混ざる。
781,交ぜる/混ぜる,まぜる,GIAO/HỖN,"(Tha) Trộn, khuấy, trộn lẫn","mix, blend",さとうを入れてよく混ぜてください。
782,解ける/溶ける,とける,GIẢI/DUNG,"(Tự) Được giải đáp, tan chảy","be solved, melt, dissolve",問題が解けた。雪がとけた。洗剤が水に溶ける。
783,解く/溶く/溶かす,とく/とかす,GIẢI/DUNG,"(Tha) Giải quyết, hòa tan, đánh trứng","solve, dissolve, melt",数学の問題を解く。バターを溶かす。卵をとく。
784,含む,ふくむ,HÀM,"Chứa đựng, bao gồm","contain, include",レモンはビタミンCを多く含んでいる。
785,含める,ふくめる,HÀM,Bao gồm cả...,include,私を含めて5人です。
786,抜ける,ぬける,BẠT,"(Tự) Rụng (tóc), xì hơi, sót","fall out, be missing, leak",髪の毛が抜ける。書類のページが抜けている。
787,抜く,ぬく,BẠT,"(Tha) Nhổ, rút, bỏ bữa, vượt qua","pull out, skip, overtake",虫歯を抜く。朝食を抜く。前の3人を抜いて1位になった。
788,現れる,あらわれる,HIỆN,"(Tự) Xuất hiện, lộ ra","appear, show up",雲の間から月が現れた。犯人が現れた。
789,現す,あらわす,HIỆN,"(Tha) Làm lộ ra, làm xuất hiện","show, make appear",富士山が姿を現した。
790,表れる,あらわれる,BIỂU,"(Tự) Biểu hiện ra, thể hiện ra",show on face/feeling,彼の顔に喜びが表れていた。
791,表す,あらわす,BIỂU,"(Tha) Biểu thị, thể hiện (tình cảm/ý nghĩa)","express, represent",気持ちを言葉で表す。地図の記号が表すもの。
792,散る,ちる,TẢN,"(Tự) Rụng, tàn (hoa)","fall, scatter",風で桜の花が散ってしまった。
793,散らす,ちらす,TẢN,"(Tha) Làm rụng, làm vương vãi","scatter, disperse",風が木の葉を散らした。
794,明ける,あける,MINH,"(Tự) Hết (mùa mưa/năm), rạng sáng","dawn, end (season/year)",梅雨が明ける。年が明ける。夜が明ける。
795,差す,さす,SAI,"Chiếu (nắng), giương (dù), nhỏ (thuốc)","shine, open umbrella, apply drops",日に光が差す。かさを差す。目薬を差す。
796,パートナー,パートナー,,"Đối tác, bạn đời",partner,仕事のパートナー。人生のパートナー。
797,リーダー,リーダー,,"Thủ lĩnh, nhóm trưởng",leader,グループのリーダーを決める。
798,ボランティア,ボランティア,,"Tình nguyện viên, thiện nguyện",volunteer,ボランティア活動に参加する。
799,コミュニケーション,コミュニケーション,,"Giao tiếp, truyền thông",communication,同僚とコミュニケーションをとる。
800,ユーモア,ユーモア,,"Hài hước, khiếu hài hước",humor,ユーモアのある話。
801,ショック,ショック,,"Cú sốc, bàng hoàng",shock,事故の知らせを聞いてショックを受けた。
802,ストレス,ストレス,,"Căng thẳng, áp lực",stress,仕事でストレスがたまる。
803,バランス,バランス,,"Cân bằng, sự thăng bằng",balance,栄養のバランスを考える。
804,レベル,レベル,,"Cấp độ, trình độ",level,日本語のレベルが上がる。
805,アップ,アップ,,"Tăng lên, nâng cao","up, increase",給料がアップする。イメージアップ。
806,ダウン,ダウン,,"Giảm xuống, kiệt sức gục ngã","down, decrease",コストダウン。風邪でダウンする。
807,プラス,プラス,,"Điểm cộng, tích cực, số dương","plus, positive",経験は将来プラスになる。プラスマイナス。
808,マイナス,マイナス,,"Điểm trừ, tiêu cực, số âm","minus, negative",気温がマイナス5度になる。
809,イメージ,イメージ,,"Hình ảnh, ấn tượng hình dung",image,会社のイメージが良い。
810,コンテスト,コンテスト,,Cuộc thi,contest,スピーチコンテストに出場する。
811,マスコミ,マスコミ,,Giới truyền thông đại chúng,mass media,マスコミで大きく報道された。
812,プライバシー,プライバシー,,Quyền riêng tư,privacy,個人のプライバシーを守る。
813,オフィス,オフィス,,Văn phòng làm việc,office,新しいオフィスに移転する。
814,ルール,ルール,,"Quy tắc, luật lệ",rule,スポーツのルールを守る。
815,マナー,マナー,,"Phép lịch sự, văn hóa ứng xử",manners,食事のマナーを守る。
816,ミス,ミス,,"Lỗi lầm, sai sót","mistake, error",仕事でミスをしてしまった。
817,スケジュール,スケジュール,,"Lịch trình, thời gian biểu",schedule,スケジュールがいっぱいで忙しい。
818,タイトル,タイトル,,"Tiêu đề, đầu đề, danh hiệu",title,本のタイトルを決める。
819,テーマ,テーマ,,"Chủ đề, đề tài","theme, topic",論文のテーマを選ぶ。
820,ストーリー,ストーリー,,"Cốt truyện, câu chuyện",story,映画のストーリーがおもしろい。
821,ヒット,ヒット,,"Đánh trúng, tác phẩm ăn khách","hit, success",新製品が大ヒットした。
822,ブランド,ブランド,,"Thương hiệu, hàng hiệu",brand,有名ブランドのバッグを買う。
823,レンタル,レンタル,,Sự thuê mướn,rental,DVDをレンタルする。
824,リサイクル,リサイクル,,Tái chế,recycle,空き缶をリサイクルする。
825,ラベル,ラベル,,Nhãn mác,label,ビンのラベルをはがす。
826,タイプ,タイプ,,"Kiểu, loại, mẫu người",type,新しいタイプの携帯電話。好きなタイプの人。
827,スタイル,スタイル,,"Phong cách, vóc dáng","style, figure",彼女はスタイルがいい。ライフスタイル。
828,セット,セット,,"Bộ, cài đặt, phần ăn combo",set,朝食セットを注文する。目覚ましをセットする。
829,ウイルス,ウイルス,,Vi-rút (sinh học / máy tính),virus,パソコンがウイルスに感染した。
830,ロボット,ロボット,,"Người máy, robot",robot,工場でロボットが働く。
831,エネルギー,エネルギー,,Năng lượng,energy,太陽光エネルギーを利用する。
832,デジタル,デジタル,,"Kỹ thuật số, digital",digital,デジタルカメラを買う。
833,マイク,マイク,,"Microphone, mic",microphone,マイクを持って話す。
834,ブレーキ,ブレーキ,,"Phanh xe, thắng",brake,急ブレーキをかける。
835,ペンキ,ペンキ,,Sơn,paint,壁にペンキを塗る。
836,炊く,たく,XUY,Nấu (cơm),cook rice,ごはんを炊く。
837,煮る,にる,CHỬ,"Ninh, hầm, kho","boil, stew",野菜や肉を煮る。
838,炒める,いためる,SAO,Xào,stir-fry,フライパンで野菜を炒める。
839,焼く,やく,THIÊU,"Nướng, rán","bake, grill, roast",魚や肉を焼く。
840,揚げる,あげる,DƯƠNG,"Chiên ngập dầu, rán giòn",deep-fry,油でてんぷらを揚げる。
841,蒸す,むす,CHƯNG,"Hấp, chưng cách thủy",steam,蒸し器でシュウマイを蒸す。
842,ゆでる,ゆでる,,Luộc,boil in water,お湯で卵をゆでる。
843,注ぐ,そそぐ/つぐ,CHÚ,"Rót, đổ vào",pour,コップにお茶を注ぐ。
844,混ぜる,まぜる,HỖN,"Khuấy, trộn","mix, stir",ドレッシングをよく混ぜる。
845,刻む,きざむ,KHẮC,"Băm nhỏ, thái nhỏ, khắc ghi","chop, mince, engrave",ねぎを細かく刻む。心に刻む。
846,まあまあ,まあまあ,,"Tàm tạm, kha khá","so-so, passable",試験の成績はまあまあだった。
847,ぼんやり,ぼんやり,,"Mờ ảo, lơ đãng, thẫn thờ","dimly, absent-mindedly",遠くに山がぼんやり見える。ぼんやりと過ごす。
848,ふと,ふと,,"Bất chợt, tình cờ","accidentally, suddenly",ふと窓の外を見ると雪が降っていた。
849,じかに,じかに,TRỰC,Trực tiếp,directly,床にじかに座る。本人にじかに聞く。
850,一度に,いちどに,NHẤT ĐỘ,"Cùng một lúc, một lượt",all at once,一度にたくさんのことを頼まれて困った。
851,一斉に,いっせいに,NHẤT TỀ,"Đồng loạt, cùng một lúc","all together, in unison",選手たちが一斉にスタートした。
852,共に,ともに,CỘNG,"Cùng với, đồng thời với","together with, along with",家族と共に暮らす。科学の発展と共に生活が便利になった。
853,相互に,そうごに,TƯƠNG HỖ,"Lẫn nhau, qua lại",mutually,相互に理解を深める。
854,一人一人,ひとりひとり,NHẤT NHÂN NHẤT NHÂN,Từng người một,"each person, individually",一人一人の意見を聞く。
855,いちいち,いちいち,,"Từng li từng tí, mọi chuyện","one by one, every single thing",彼の言うことにいちいち文句をつける。
856,所々,ところどころ,SỞ SỞ,"Đôi chỗ, rải rác vài nơi",here and there,本に所々線が引いてある。
857,どうか,どうか,,"Xin vui lòng, làm ơn (kính khẩn)","please, somehow",どうかよろしくお願いいたします。
858,できれば/できたら,できれば/できたら,XUẤT LAI,Nếu có thể được,if possible,できればあしたまでに終わらせてください。
859,たいして,たいして,ĐỐI,Không... lắm (đi với phủ định),"not so much, not very",たいして難しくない試験だった。
860,恐らく,おそらく,KHỦNG,"Có lẽ, e rằng (xác suất cao)","probably, perhaps",恐らく雨が降るだろう。
861,むしろ,むしろ,,"Thà rằng... còn hơn, đúng hơn là","rather, instead",寒さよりむしろ暑さのほうが苦手だ。
862,果たして,はたして,QUẢ,"Liệu rằng, quả thực là","really, as expected",果たして彼の話は本当だろうか。
863,かえって,かえって,PHẢN,"Ngược lại, trái lại",on the contrary,薬を飲んだらかえって気分が悪くなった。
864,必ずしも,かならずしも,TẤT,Không hẳn là (đi với phủ định),not necessarily,高いものが必ずしもいいとは限らない。
865,単に,たんに,ĐƠN,Chỉ đơn thuần là,"simply, merely",単にミスをしただけだ。
866,ただ,ただ,,"Chỉ, đơn thuần","just, only",ただ見ていただけです。
867,ついでに,ついでに,TIỆN,"Nhân tiện, tiện thể","incidentally, on the way",買い物のついでに郵便局へ寄る。
868,初めは,はじめは,THỦY,"Ban đầu thì, thoạt đầu",at first,初めは難しかったが、だんだん慣れてきた。
869,たいした,たいした,ĐẠI,"To tát, ghê gớm (thường đi với phủ định)","great, significant",たいしたけがではなくてよかった。
870,いわゆる,いわゆる,,Cái gọi là...,so-called,彼はいわゆる天才だ。
871,ある,ある,,"Một... nọ, nào đó","a certain, some",ある日、不思議な手紙が届いた。
872,あらゆる,あらゆる,,"Tất cả, mọi","all, every",あらゆる方法を試してみた。
873,大した,たいした,ĐẠI,"To lớn, quan trọng","considerable, great",大した人物だ。
874,または,または,HOẶC,"Hoặc là, hay là","or, otherwise",黒または青のペンで書いてください。
875,それとも,それとも,,Hay là (dùng trong câu hỏi lựa chọn),"or, else",コーヒーにしますか、それとも紅茶にしますか。
876,ならびに,ならびに,TỊNH,"Cũng như, và (văn bản trang trọng)","as well as, and",会長ならびにご来賓の皆様。
877,および,および,CẬP,Và (văn phong trang trọng),"and, as well as",住所および氏名を記入してください。
878,ただし,ただし,ĐẢN,"Tuy nhiên, nhưng kèm điều kiện","however, provided that",入場は無料です。ただし整理券が必要です。
879,なお,なお,THƯỢNG,"Thêm nữa, ngoài ra","furthermore, in addition",次の会議は来週です。なお、場所は追ってお知らせします。
880,しかも,しかも,NHI,"Hơn nữa, vả lại","moreover, what's more",この料理は安くて、しかもおいしい。
